,subtitle,authors,title,publishers,number_of_pages,physical_format,notes,works,publish_date,isbn_10,covers,full_title,isbn_13,last_modified,created,type,key,latest_revision,revision,source_records,name,id,publish_places,identifiers,pagination,classifications,copyright_date,table_of_contents,contributors,edition_name,oclc_numbers,languages,other_titles,subjects,links,subject_places,description,subject_times,excerpts,subject_people,series,lc_classifications,first_publish_date,dewey_number,physical_dimensions,first_sentence,weight,translation_of,by_statement,translated_from,dewey_decimal_class,ocaid,location,publish_country,personal_name,authors_key,books_key
2601,"The Life and Times of Lucy Parsons, American Radical","[{'key': '/authors/OL5921589A'}, {'key': '/authors/OL9281762A'}]",Goddess of Anarchy Lib/E,['Hachette Book Group'],,audio cd,"{'type': '/type/text', 'value': 'Source title: Goddess of Anarchy Lib/E: The Life and Times of Lucy Parsons, American Radical'}",[{'key': '/works/OL24624435W'}],"Dec 05, 2017",['1549114255'],[11299682],"Goddess of Anarchy Lib/E : The Life and Times of Lucy Parsons, American Radical",['9781549114250'],"{'type': '/type/datetime', 'value': '2021-06-23T15:18:15.431181'}","{'type': '/type/datetime', 'value': '2021-06-23T15:18:15.431181'}",{'key': '/type/edition'},/books/OL32670559M,1,1,['amazon:1549114255'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL5921589A,/books/OL32670559M
2602,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:18:08.263618'}","{'type': '/type/datetime', 'value': '2021-06-23T15:18:08.263618'}",{'key': '/type/author'},/authors/OL9281761A,1,1,['amazon:1548981796'],Keri J. Komark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281761A
2603,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281761A'}}]",You Can Get Great Sales Results Selling Anything To Anyone,,,,,,,,[11299681],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:18:08.263618'}","{'type': '/type/datetime', 'value': '2021-06-23T15:18:08.263618'}",{'key': '/type/work'},/works/OL24624434W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624434W
2604,,[{'key': '/authors/OL9281761A'}],You Can Get Great Sales Results Selling Anything To Anyone,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",128.0,paperback,,[{'key': '/works/OL24624434W'}],"Jul 16, 2017",['1548981796'],[11299681],,['9781548981792'],"{'type': '/type/datetime', 'value': '2021-06-23T15:18:08.263618'}","{'type': '/type/datetime', 'value': '2021-06-23T15:18:08.263618'}",{'key': '/type/edition'},/books/OL32670558M,1,1,['amazon:1548981796'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281761A,/books/OL32670558M
2605,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7679039A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7679039A'}}]",In A Whisper,,,,,,,,[11299680],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:17:38.723234'}","{'type': '/type/datetime', 'value': '2021-06-23T15:17:38.723234'}",{'key': '/type/work'},/works/OL24624433W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624433W
2606,,"[{'key': '/authors/OL7679039A'}, {'key': '/authors/OL7679039A'}]",In A Whisper,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",246.0,paperback,"{'type': '/type/text', 'value': 'Source title: In A Whisper (Set Me Free) (Volume 2)'}",[{'key': '/works/OL24624433W'}],"Jul 17, 2017",['1548686069'],[11299680],In A Whisper,['9781548686062'],"{'type': '/type/datetime', 'value': '2021-06-23T15:17:38.723234'}","{'type': '/type/datetime', 'value': '2021-06-23T15:17:38.723234'}",{'key': '/type/edition'},/books/OL32670557M,1,1,['amazon:1548686069'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7679039A,/books/OL32670557M
2607,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:17:05.593052'}","{'type': '/type/datetime', 'value': '2021-06-23T15:17:05.593052'}",{'key': '/type/author'},/authors/OL9281760A,1,1,['amazon:1548444987'],Shimon Garber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281760A
2608,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281760A'}}]",Immigrants : Vol I,,,,,,,,[11299679],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:17:05.593052'}","{'type': '/type/datetime', 'value': '2021-06-23T15:17:05.593052'}",{'key': '/type/work'},/works/OL24624432W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624432W
2609,Capital of Immigrants,[{'key': '/authors/OL9281760A'}],Immigrants : Vol I,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",295.0,paperback,"{'type': '/type/text', 'value': 'Source title: Immigrants: Vol I: Capital of Immigrants (Volume 1)'}",[{'key': '/works/OL24624432W'}],"Oct 12, 2017",['1548444987'],[11299679],Immigrants : Vol I : Capital of Immigrants,['9781548444983'],"{'type': '/type/datetime', 'value': '2021-06-23T15:17:05.593052'}","{'type': '/type/datetime', 'value': '2021-06-23T15:17:05.593052'}",{'key': '/type/edition'},/books/OL32670556M,1,1,['amazon:1548444987'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281760A,/books/OL32670556M
2610,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:16:53.776353'}","{'type': '/type/datetime', 'value': '2021-06-23T15:16:53.776353'}",{'key': '/type/author'},/authors/OL9281759A,1,1,['amazon:154835287X'],Christie Mealo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281759A
2611,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7677412A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281759A'}}]",Lucy's Official Coloring Book!,,,,,,,,[11299678],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:16:53.776353'}","{'type': '/type/datetime', 'value': '2021-06-23T15:16:53.776353'}",{'key': '/type/work'},/works/OL24624431W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624431W
2612,,"[{'key': '/authors/OL7677412A'}, {'key': '/authors/OL9281759A'}]",Lucy's Official Coloring Book!,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",42.0,paperback,,[{'key': '/works/OL24624431W'}],"Jul 06, 2017",['154835287X'],[11299678],,['9781548352875'],"{'type': '/type/datetime', 'value': '2021-06-23T15:16:53.776353'}","{'type': '/type/datetime', 'value': '2021-06-23T15:16:53.776353'}",{'key': '/type/edition'},/books/OL32670555M,1,1,['amazon:154835287X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7677412A,/books/OL32670555M
2613,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:16:29.138014'}","{'type': '/type/datetime', 'value': '2021-06-23T15:16:29.138014'}",{'key': '/type/author'},/authors/OL9281758A,1,1,['amazon:1665190574'],Ben Aaronovitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281758A
2614,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281758A'}}]",The Furthest Station,,,,,,,,[11299677],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:16:29.138014'}","{'type': '/type/datetime', 'value': '2021-06-23T15:16:29.138014'}",{'key': '/type/work'},/works/OL24624430W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624430W
2615,,[{'key': '/authors/OL9281758A'}],The Furthest Station,['Tantor and Blackstone Publishing'],1.0,audio cd,"{'type': '/type/text', 'value': 'Source title: The Furthest Station (PC Grant)'}",[{'key': '/works/OL24624430W'}],"Mar 01, 2021",['1665190574'],[11299677],The Furthest Station,['9781665190572'],"{'type': '/type/datetime', 'value': '2021-06-23T15:16:29.138014'}","{'type': '/type/datetime', 'value': '2021-06-23T15:16:29.138014'}",{'key': '/type/edition'},/books/OL32670554M,1,1,['amazon:1665190574'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281758A,/books/OL32670554M
2616,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7547799A'}}]",Dogo Argentino Coloring Book,,,,,,,,[11299676],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:15:15.924236'}","{'type': '/type/datetime', 'value': '2021-06-23T15:15:15.924236'}",{'key': '/type/work'},/works/OL24624429W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624429W
2617,,[{'key': '/authors/OL7547799A'}],Dogo Argentino Coloring Book,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",32.0,paperback,,[{'key': '/works/OL24624429W'}],"May 30, 2017",['1547038551'],[11299676],,['9781547038558'],"{'type': '/type/datetime', 'value': '2021-06-23T15:15:15.924236'}","{'type': '/type/datetime', 'value': '2021-06-23T15:15:15.924236'}",{'key': '/type/edition'},/books/OL32670553M,1,1,['amazon:1547038551'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7547799A,/books/OL32670553M
2618,,"[{'key': '/authors/OL7798747A'}, {'key': '/authors/OL5988159A'}]",The Son of a Servant,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",148.0,paperback,,[{'key': '/works/OL24518404W'}],"Jun 17, 2017",['1546908994'],[11299675],The Son of a Servant,['9781546908999'],"{'type': '/type/datetime', 'value': '2021-06-23T15:14:59.537445'}","{'type': '/type/datetime', 'value': '2021-06-23T15:14:59.537445'}",{'key': '/type/edition'},/books/OL32670552M,1,1,['amazon:1546908994'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7798747A,/books/OL32670552M
2619,,[{'key': '/authors/OL1755075A'}],The Boy Scouts Patrol,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",110.0,paperback,,[{'key': '/works/OL6551876W'}],"Jun 19, 2017",['1546907734'],[11299674],The Boy Scouts Patrol,['9781546907732'],"{'type': '/type/datetime', 'value': '2021-06-23T15:14:56.592786'}","{'type': '/type/datetime', 'value': '2021-06-23T15:14:56.592786'}",{'key': '/type/edition'},/books/OL32670551M,1,1,['amazon:1546907734'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL1755075A,/books/OL32670551M
2620,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7707333A'}}]",La Caza del Meteoro  Edition,,,,,,,,[11299673],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:14:19.438764'}","{'type': '/type/datetime', 'value': '2021-06-23T15:14:19.438764'}",{'key': '/type/work'},/works/OL24624428W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624428W
2621,,[{'key': '/authors/OL7707333A'}],La Caza del Meteoro  Edition,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",152.0,paperback,"{'type': '/type/text', 'value': 'Source title: La Caza del Meteoro (Spanish) Edition (Spanish Edition)'}",[{'key': '/works/OL24624428W'}],"May 12, 2017",['1546641823'],[11299673],,['9781546641827'],"{'type': '/type/datetime', 'value': '2021-06-23T15:14:19.438764'}","{'type': '/type/datetime', 'value': '2021-06-23T15:14:19.438764'}",{'key': '/type/edition'},/books/OL32670550M,1,1,['amazon:1546641823'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7707333A,/books/OL32670550M
2622,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:13:57.880027'}","{'type': '/type/datetime', 'value': '2021-06-23T15:13:57.880027'}",{'key': '/type/author'},/authors/OL9281757A,1,1,['amazon:1546423680'],Joshua B. Lehman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281757A
2623,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281757A'}}]",A Dirge for the Gloaming,,,,,,,,[11299672],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:13:57.880027'}","{'type': '/type/datetime', 'value': '2021-06-23T15:13:57.880027'}",{'key': '/type/work'},/works/OL24624427W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624427W
2624,A Plague of Sorrows,[{'key': '/authors/OL9281757A'}],A Dirge for the Gloaming,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",247.0,paperback,"{'type': '/type/text', 'value': 'Source title: A Dirge for the Gloaming: A Plague of Sorrows (The Lifestream Trilogy)'}",[{'key': '/works/OL24624427W'}],"May 26, 2019",['1546423680'],[11299672],A Dirge for the Gloaming : A Plague of Sorrows,['9781546423683'],"{'type': '/type/datetime', 'value': '2021-06-23T15:13:57.880027'}","{'type': '/type/datetime', 'value': '2021-06-23T15:13:57.880027'}",{'key': '/type/edition'},/books/OL32670549M,1,1,['amazon:1546423680'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281757A,/books/OL32670549M
2625,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:13:53.238891'}","{'type': '/type/datetime', 'value': '2021-06-23T15:13:53.238891'}",{'key': '/type/author'},/authors/OL9281756A,1,1,['amazon:1546408339'],Ana Esmeralda P. Recuenco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281756A
2626,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281756A'}}]",A corazón abierto,,,,,,,,[11299671],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:13:53.238891'}","{'type': '/type/datetime', 'value': '2021-06-23T15:13:53.238891'}",{'key': '/type/work'},/works/OL24624426W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624426W
2627,,[{'key': '/authors/OL9281756A'}],A corazón abierto,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",50.0,paperback,"{'type': '/type/text', 'value': 'Source title: A corazón abierto (Spanish Edition)'}",[{'key': '/works/OL24624426W'}],"May 01, 2017",['1546408339'],[11299671],A corazón abierto,['9781546408338'],"{'type': '/type/datetime', 'value': '2021-06-23T15:13:53.238891'}","{'type': '/type/datetime', 'value': '2021-06-23T15:13:53.238891'}",{'key': '/type/edition'},/books/OL32670548M,1,1,['amazon:1546408339'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281756A,/books/OL32670548M
2628,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:13:11.119436'}","{'type': '/type/datetime', 'value': '2021-06-23T15:13:11.119436'}",{'key': '/type/author'},/authors/OL9281755A,1,1,['amazon:1545674337'],Pat Saks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281755A
2629,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281755A'}}]",Stones of Remembrance.,,,,,,,,[11299669],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:13:11.119436'}","{'type': '/type/datetime', 'value': '2021-06-23T15:13:11.119436'}",{'key': '/type/work'},/works/OL24624425W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624425W
2630,,[{'key': '/authors/OL9281755A'}],Stones of Remembrance.,['Xulon Press'],232.0,hardcover,,[{'key': '/works/OL24624425W'}],"Jul 31, 2019",['1545674337'],[11299669],,['9781545674338'],"{'type': '/type/datetime', 'value': '2021-06-23T15:13:11.119436'}","{'type': '/type/datetime', 'value': '2021-06-23T15:13:11.119436'}",{'key': '/type/edition'},/books/OL32670547M,1,1,['amazon:1545674337'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281755A,/books/OL32670547M
2631,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:12:50.988747'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:50.988747'}",{'key': '/type/author'},/authors/OL9281754A,1,1,['amazon:1545637903'],Pam Enns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281754A
2632,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281754A'}}]",Hidden Elements,,,,,,,,[11299668],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:12:50.988747'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:50.988747'}",{'key': '/type/work'},/works/OL24624424W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624424W
2633,,[{'key': '/authors/OL9281754A'}],Hidden Elements,['Xulon Press'],156.0,paperback,,[{'key': '/works/OL24624424W'}],"Jun 21, 2018",['1545637903'],[11299668],,['9781545637906'],"{'type': '/type/datetime', 'value': '2021-06-23T15:12:50.988747'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:50.988747'}",{'key': '/type/edition'},/books/OL32670546M,1,1,['amazon:1545637903'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281754A,/books/OL32670546M
2634,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:12:35.166749'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:35.166749'}",{'key': '/type/author'},/authors/OL9281753A,1,1,['amazon:1545603006'],Dawn Salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281753A
2635,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281753A'}}]",There Is Purpose to Your Pain,,,,,,,,[11299667],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:12:35.166749'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:35.166749'}",{'key': '/type/work'},/works/OL24624423W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624423W
2636,,[{'key': '/authors/OL9281753A'}],There Is Purpose to Your Pain,['Xulon Press'],148.0,paperback,,[{'key': '/works/OL24624423W'}],"Apr 18, 2017",['1545603006'],[11299667],,['9781545603000'],"{'type': '/type/datetime', 'value': '2021-06-23T15:12:35.166749'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:35.166749'}",{'key': '/type/edition'},/books/OL32670545M,1,1,['amazon:1545603006'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281753A,/books/OL32670545M
2637,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7571682A'}}]",Sudoku Tents Island - 200 Hard to Master Puzzles 7x7,,,,,,,,[11299665],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:12:06.236338'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:06.236338'}",{'key': '/type/work'},/works/OL24624422W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624422W
2638,,[{'key': '/authors/OL7571682A'}],Sudoku Tents Island - 200 Hard to Master Puzzles 7x7,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",136.0,paperback,"{'type': '/type/text', 'value': 'Source title: Sudoku Tents Island - 200 Hard to Master Puzzles 7x7 (Volume 2)'}",[{'key': '/works/OL24624422W'}],"Apr 18, 2017",['1545423814'],[11299665],,['9781545423813'],"{'type': '/type/datetime', 'value': '2021-06-23T15:12:06.236338'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:06.236338'}",{'key': '/type/edition'},/books/OL32670544M,1,1,['amazon:1545423814'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7571682A,/books/OL32670544M
2639,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:12:03.393061'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:03.393061'}",{'key': '/type/author'},/authors/OL9281751A,1,1,['amazon:154542098X'],Don Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281751A
2640,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:12:03.393061'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:03.393061'}",{'key': '/type/author'},/authors/OL9281752A,1,1,['amazon:154542098X'],Teresa Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281752A
2641,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281751A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281752A'}}]",More Zoo Nonsene,,,,,,,,[11299664],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:12:03.393061'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:03.393061'}",{'key': '/type/work'},/works/OL24624421W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624421W
2642,,"[{'key': '/authors/OL9281751A'}, {'key': '/authors/OL9281752A'}]",More Zoo Nonsene,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",32.0,paperback,,[{'key': '/works/OL24624421W'}],"Jun 24, 2017",['154542098X'],[11299664],,['9781545420980'],"{'type': '/type/datetime', 'value': '2021-06-23T15:12:03.393061'}","{'type': '/type/datetime', 'value': '2021-06-23T15:12:03.393061'}",{'key': '/type/edition'},/books/OL32670543M,1,1,['amazon:154542098X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281751A,/books/OL32670543M
2643,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}",{'key': '/type/author'},/authors/OL9281748A,1,1,['amazon:154536883X'],Fletcher Long JD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281748A
2644,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}",{'key': '/type/author'},/authors/OL9281749A,1,1,['amazon:154536883X'],Michelle MacDonald JD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281749A
2645,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}",{'key': '/type/author'},/authors/OL9281750A,1,1,['amazon:154536883X'],Inc FAMILYcourt.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281750A
2646,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281748A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281749A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281750A'}}]",For What It's Worth,,,,,,,,[11299663],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}",{'key': '/type/work'},/works/OL24624420W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624420W
2647,The Long Version,"[{'key': '/authors/OL9281748A'}, {'key': '/authors/OL9281749A'}, {'key': '/authors/OL9281750A'}]",For What It's Worth,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",210.0,paperback,"{'type': '/type/text', 'value': ""Source title: For What It's Worth:The Long Version""}",[{'key': '/works/OL24624420W'}],"Apr 15, 2017",['154536883X'],[11299663],For What It's Worth The Long Version,['9781545368831'],"{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:51.130121'}",{'key': '/type/edition'},/books/OL32670542M,1,1,['amazon:154536883X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281748A,/books/OL32670542M
2648,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:11:41.960424'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:41.960424'}",{'key': '/type/author'},/authors/OL9281747A,1,1,['amazon:1545356300'],Joy Luck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281747A
2649,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281747A'}}]",The Five Elizabeths,,,,,,,,[11299662],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:11:41.960424'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:41.960424'}",{'key': '/type/work'},/works/OL24624419W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624419W
2650,,[{'key': '/authors/OL9281747A'}],The Five Elizabeths,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",152.0,paperback,,[{'key': '/works/OL24624419W'}],"Apr 15, 2017",['1545356300'],[11299662],,['9781545356302'],"{'type': '/type/datetime', 'value': '2021-06-23T15:11:41.960424'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:41.960424'}",{'key': '/type/edition'},/books/OL32670541M,1,1,['amazon:1545356300'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281747A,/books/OL32670541M
2651,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T15:11:27.171380'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:27.171380'}",{'key': '/type/author'},/authors/OL9281746A,1,1,['amazon:1545294593'],Ms Marilynn T. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281746A
2652,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9281746A'}}]",More Stories for Little Old Ladies,,,,,,,,[11299661],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:11:27.171380'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:27.171380'}",{'key': '/type/work'},/works/OL24624418W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624418W
2653,,[{'key': '/authors/OL9281746A'}],More Stories for Little Old Ladies,"['Createspace Independent Publishing Platform', 'CreateSpace Independent Publishing Platform']",248.0,paperback,"{'type': '/type/text', 'value': 'Source title: More Stories for Little Old Ladies: (and little old men,too) (Stories For Little Old :adies) (Volume 2)'}",[{'key': '/works/OL24624418W'}],"Jun 03, 2017",['1545294593'],[11299661],,['9781545294598'],"{'type': '/type/datetime', 'value': '2021-06-23T15:11:27.171380'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:27.171380'}",{'key': '/type/edition'},/books/OL32670540M,1,1,['amazon:1545294593'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9281746A,/books/OL32670540M
2654,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL2722355A'}}]",The Celaran Solution,,,,,,,,[11299660],,,"{'type': '/type/datetime', 'value': '2021-06-23T15:11:01.118555'}","{'type': '/type/datetime', 'value': '2021-06-23T15:11:01.118555'}",{'key': '/type/work'},/works/OL24624417W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24624417W
